sl,ta,td,n,ev,wr,std,sharpe,avg_h,ambig_pct,ev_cost
1.5,2.0,0.2,7202,0.15314002767788265,0.8544848653151902,0.9275469631725552,2.6209158894945372,10.043043599000278,0.0022216051096917524,0.11314002767788264
1.5,1.5,0.2,8761,0.15083670687427836,0.6258417988814062,0.5400565447904329,4.433718122506756,6.205912567058555,0.0019404177605296198,0.11083670687427835
1.0,1.5,0.2,9138,0.1270858543549299,0.8061939155176188,0.7114250994526291,2.835752345842345,5.5353469030422415,0.006894287590282338,0.08708585435492988
1.0,2.0,0.2,7826,0.12475960930726648,0.6707130079223103,0.9703863311968692,2.0409370326897576,8.067339637107079,0.007922310247891643,0.08475960930726648
1.0,1.0,0.2,11553,0.1240931377245827,0.6227819613953086,0.43937141736555496,4.483490307096237,3.0661300095213364,0.006491820306413918,0.08409313772458271
1.5,2.0,0.3,7202,0.11051668391428998,0.8544848653151902,0.9149563388850678,1.9174663244612382,10.042071646764787,0.0022216051096917524,0.07051668391428997
0.7,0.8,0.2,13106,0.10999034161774575,0.7341675568441935,0.45580356178723164,3.8306908712850474,2.1627498855486036,0.019838242026552724,0.06999034161774575
0.7,1.0,0.2,11874,0.10824058867029332,0.8215428667677278,0.5496886911911325,3.12588944223255,2.838302172814553,0.01995957554320364,0.06824058867029331
0.7,2.0,0.2,8693,0.10762531205465017,0.5328425169676752,0.8653764459563944,1.9742839902994636,6.305993327965029,0.02185666628321638,0.06762531205465017
0.7,1.5,0.2,9880,0.10557426938883153,0.6460526315789473,0.7181954269686712,2.333542524734331,4.553238866396761,0.021153846153846155,0.06557426938883154
0.5,2.0,0.2,9707,0.10158735464886114,0.42371484495724737,0.7964861990114318,2.0247045868470868,4.978984238178634,0.06974348408365097,0.061587354648861135
1.5,1.5,0.3,8761,0.10093009783965695,0.4922954000684853,0.5396126200573068,2.96919599830846,6.205912567058555,0.0019404177605296198,0.06093009783965695
0.5,0.5,0.2,15438,0.09671073405975271,0.6314289415727425,0.3880268440740125,3.956518297746499,1.2830029796605777,0.063479725353025,0.05671073405975271
0.5,1.5,0.2,10794,0.09478804499905504,0.518899388549194,0.6673466703142719,2.2547704707485616,3.7067815453029462,0.06790809709097646,0.054788044999055034
0.5,0.8,0.2,13523,0.09265013886069375,0.7582636988833839,0.4811881772485066,3.056549241454884,1.9727871034533757,0.06596169489018709,0.052650138860693745
1.0,2.0,0.3,7825,0.0914335797227299,0.6707987220447285,0.9514579768617671,1.5255146478963462,8.068626198083066,0.007923322683706071,0.051433579722729904
0.5,1.0,0.2,12540,0.08966854100225964,0.6685007974481658,0.5293948360619033,2.688813457450156,2.4531897926634767,0.06738437001594896,0.04966854100225964
1.0,1.5,0.3,9138,0.08671533452129135,0.8061939155176188,0.6960648107357039,1.9776366205608238,5.5351280367695335,0.006894287590282338,0.04671533452129135
0.7,2.0,0.3,8691,0.0810708768689881,0.5328500747900127,0.8437558774080486,1.5252756242067647,6.307904729030031,0.02186169600736394,0.0410708768689881
0.5,2.0,0.3,9706,0.0804779797091899,0.42375849989697095,0.7748360732748534,1.6487981987789235,4.9797032763239235,0.06975066968885225,0.040477979709189905
1.0,1.0,0.3,11553,0.07442226741408679,0.4860209469401887,0.4385585649996122,2.6938634056784707,3.066216567125422,0.006491820306413918,0.03442226741408679
0.7,1.5,0.3,9880,0.07340114034167937,0.6461538461538462,0.6984421123955123,1.6682942781891912,4.5529352226720645,0.021153846153846155,0.03340114034167937
0.5,1.5,0.3,10796,0.06884694727064952,0.518895887365691,0.6460193003480109,1.6917627777311643,3.7053538347536126,0.06798814375694702,0.02884694727064952
0.7,1.0,0.3,11874,0.06716344533190692,0.8215428667677278,0.5367488881109397,1.986378854006453,2.8383863904328788,0.01995957554320364,0.02716344533190692
0.7,0.8,0.3,13105,0.06398514524434964,0.5813048454788249,0.448939525539683,2.262515625667704,2.1629912247233882,0.019839755818389926,0.023985145244349644
0.5,1.0,0.3,12540,0.05624350112985073,0.6685007974481658,0.5111398353594143,1.746758595896135,2.4532695374800637,0.06738437001594896,0.016243501129850728
0.5,0.8,0.3,13523,0.05473695391652345,0.758189750794942,0.4665541562659823,1.862425173712464,1.9728610515418177,0.06596169489018709,0.014736953916523451
0.5,0.5,0.3,15438,0.04988472032740326,0.5010364036792331,0.3833083846524982,2.0659485076691615,1.2830677548905298,0.063479725353025,0.009884720327403257
0.5,2.0,0.5,9704,0.038420003345234974,0.4237427864798021,0.7323637190000899,0.8327810751784299,4.984130255564716,0.06986809563066776,-0.001579996654765027
0.7,2.0,0.5,8688,0.02783652936484112,0.5324585635359116,0.8013651253157602,0.5514230535063287,6.31560773480663,0.021869244935543278,-0.01216347063515888
1.5,2.0,0.5,7196,0.025963899725067748,0.8540856031128404,0.8913229984642719,0.46241837261894314,10.052668148971652,0.0022234574763757642,-0.014036100274932253
1.0,2.0,0.5,7819,0.02462894428118061,0.6704182120475765,0.9148830270148032,0.4273468390906065,8.081468218442255,0.00792940273692288,-0.015371055718819391
0.5,1.5,0.5,10791,0.017669197813229287,0.5189509776665739,0.6048121302438494,0.46376354846880713,3.708831433602076,0.06783430636641646,-0.022330802186770714
0.7,1.5,0.5,9872,0.009404186081320995,0.6462722852512156,0.6599913442125819,0.22619512700278294,4.560372771474879,0.0211709886547812,-0.030595813918679007
1.0,1.5,0.5,9133,0.006945069568400051,0.8060878134238476,0.6667746693451566,0.16534755527598569,5.542866527975473,0.00689806197306471,-0.033054930431599946
1.5,1.5,0.5,8754,0.002634679441227184,0.31482750742517707,0.5391361011680958,0.07757640310963002,6.220356408498972,0.0019419693854238064,-0.03736532055877281
0.5,1.0,0.5,12534,-0.009728643140059542,0.6685016754427956,0.47686179065864254,-0.3238620184746677,2.459390457954364,0.06741662677517153,-0.04972864314005954
0.7,1.0,0.5,11863,-0.013572727339951922,0.5191772738767597,0.5126919993554777,-0.4202530314443419,2.8476776532074517,0.019978083115569416,-0.05357272733995192
0.5,0.8,0.5,13509,-0.02029469151871497,0.4851580427862906,0.439297597959284,-0.7333712764566704,1.9782367310681768,0.06603005403804871,-0.06029469151871497
1.0,1.0,0.5,11543,-0.023698954504442274,0.2966299922030668,0.43732813754272426,-0.8602447622505792,3.0770163735597333,0.006497444338560167,-0.06369895450444227
0.7,0.8,0.5,13086,-0.02707748551164808,0.3601558917927556,0.4365249837685829,-0.9846899323969194,2.1707932141219626,0.019868561821794285,-0.06707748551164808
